Coffee Shop,Food Genre ,location,Has Kelsey been?,TikTok/ IG Reels,Links: ,Notes
Tatte Bakery,Coffee shop,Multiple locations,TRUE,,https://tattebakery.com/,
Pavement Coffee,Coffee shop,Multiple locations,TRUE,,https://pavementcoffeehouse.com,
La Colombe Cafe,Coffee shop,Multiple locations,TRUE,,https://www.lacolombe.com,
Life Alive Organic Cafe ,Coffee shop,Multiple locations,TRUE,,https://www.lifealive.com/,Harry Styles spotted here 
Flour Bakery,Coffee shop,Multiple locations,TRUE,,https://www.flourbakery.com/,Sticky buns
Thinking Cup,Coffee shop,Multiple Locations,TRUE,,http://thinkingcup.com/,
Revival Cafe+Kitchen,Coffee shop,Multiple Locations,FALSE,,https://www.revivalcafeandkitchen.com/,
Blue Bottle Coffee,Coffee shop,Multiple locations,TRUE,,https://bluebottlecoffee.com/,
Beacon Hill Books & Cafe,High Tea,Beacon Hill,TRUE,,https://www.bhbooks.com,Book store
Blank Street,Coffee shop,Beacon Hill,TRUE,,https://www.blankstreet.com/,
Caffe Vittoria,Coffee shop,North end ,TRUE,,https://www.caffevittoria.com/,
Bova's Bakery,Bakery,North end ,TRUE,,http://bovabakeryboston.net/,
Pink Carrot,Juice Cafe,North end ,TRUE,,https://linktr.ee/PinkCarrot,
Monica's Mercato																												,Sandwiches ,North end ,TRUE,,https://www.monicasnorthend.com/,
Jonquils Cafe & Bakery,Coffee and Bakery,Newbury,FALSE,,https://jonquilscafe.com,Geometric desserts 
BitterSweet Shoppe,Coffee shop,Newbury,FALSE,,https://www.bittersweetnewbury.com/ ,
Tradesmen,Coffee shop,Downtown ,TRUE,,https://www.tradesmanboston.com/,Crazy croissants 
George Howell,Coffee shop,Downtown ,TRUE,,https://georgehowellcoffee.com,
Gracenote Coffee,Coffee shop,Downtown ,FALSE,,https://www.gracenotecoffee.com,
Phin Coffee House ,Coffee shop,Downtown ,FALSE,,https://www.phincoffeehouse.com/,Boston Creme latte
Ogawa,Coffee shop,Downtown ,FALSE,,https://www.ogawacoffeeusa.com/,
Kane Donuts,Donut shop,Financial District,TRUE,,https://www.kanesdonuts.com/,
Cafe Susu,Coffee shop,Back Bay ,TRUE,,https://cafesusu.square.site/,
Jaho,Coffee shop,Back Bay ,FALSE,,https://www.jaho.com/,
Farmer Horse Coffee,Coffee shop,Back Bay ,FALSE,,https://instagram.com/farmershorse?igshid=MWI4MTIyMDE=,
Greystone,Coffee shop,South end ,FALSE,,https://www.greystonecafe.com/,
South End Buttery ,Coffee shop,South end ,FALSE,,https://www.southendbuttery.com/,
Mike & Patty's,Bakery,South end ,FALSE,,https://www.mikeandpattys.com,
Brick Street Bagel,Bakery,South end ,FALSE,,https://www.instagram.com/brick.street.bagels/?hl=en  ,
Phinista Cafe,Coffee shop,Fenway,FALSE,,https://www.phinista.com,
Vester Cafe ,Coffee shop,Cambridge,FALSE,,https://www.vestercafe.com/,
Curio Coffee,Coffee shop,Cambridge,FALSE,,https://instagram.com/curiocoffee?igshid=MWI4MTIyMDE=,
Bagelsaurus,Bakery,Cambridge,FALSE,,https://www.bagelsaurus.com/,
Black Sheep Bagel Cafe,Bakery,Cambridge,FALSE,,https://www.blacksheepbagelcafe.com/ ,
Lakon Paris Patisserie Seaport,Coffee shop,Southie,FALSE,,https://lakonparis.com/,
Cannonball Cafe,Coffee shop,Southie,FALSE,,https://www.cannonballcafe.com/,
Olga's Kafe,Coffee shop,Southie,FALSE,,https://olgaskafe.com/ ,
Better bagels,Bakery,Seaport,TRUE,,https://www.betterbagelsboston.com/,
Gunther Tooties,Bakery,Quincy,TRUE,,https://www.gunthertooties.com/ ,
Niveaux P̢tisserie,Bakery,Quincy,FALSE,,https://www.instagram.com/niveaux.patisserie/?hl=en ,
Kupel's Bakery,Bakery,Brookline,FALSE,,https://www.kupelsbakery.com/ ,
The Bagel Table,Bakery,Chestnut Hill,FALSE,,https://mybageltable.com/ ,
Mochinut,Bakery,Allston,FALSE,,https://www.mochinut.com/,
Mother Juice ,Juice Bar,Multiple Locations,TRUE,,https://www.motherjuice.com/,
American Provisions,Sandwiches ,Multiple Locations,TRUE,,https://www.instagram.com/americanprovisions/?hl=en,
The VU,Coffee shop,Jamaica Plain,FALSE,,https://thevuinjp.com/,
Colette Bakery,Coffee shop,Medford,FALSE,,https://www.colettebakery.com/ ,