Bars,Genre ,location,Coat Check,Cover,Has Kelsey been?,TikTok/ IG Reels,Links,,,
Bell in Hand,Pub,Faneuil hall ,No, Yes,TRUE,,https://thebellinhand.com/,,,
Ned Devine's,Pub,Faneuil hall ,, Yes,TRUE,,https://neddevinesboston.com/,,,
Wild Rover,Bar,Faneuil hall ,No, Yes,TRUE,,https://www.wildroverboston.com/,,,
White Bull,Tavern,Faneuil hall ,, Yes,TRUE,,https://www.thewhitebulltavern.com/,,,
Sissy K's,Bar,Faneuil hall ,No, Yes,TRUE,,https://www.sissyks.com/,,,
The Grand,Nightclub,Seaport, Yes,Yes (ticketed sometimes),TRUE,,https://thegrandboston.com/,,,
Scorpion bar,Night Club (ish),Seaport, Yes,Yes ,TRUE,,https://www.scorpionboston.com/,, ,
Big night Live,Nightclub,West End, Yes,Ticketed,TRUE,,https://bignightlive.com/,,,
Alibi,Bar,West End,,,FALSE,,https://www.alibiboston.com/,,,
The Harp,Sports Bar,West End,No,Yes,TRUE,,https://harpboston.com/,,,
Causeway,Sports Bar,West End,No,Yes,TRUE,,https://www.causewayboston.com/,,,
The Greatest bar,Sports Bar,West End,No,Yes,TRUE,,https://thegreatestbar.com/,,,
West End Johnnies,Sports Bar,West End,No,Yes,TRUE,,https://www.westendjohnnies.com/,,,
Bodega Canal,Bar,West End,No,Yes,TRUE,,https://www.bodegacanal.com/,,,
Sullivans ,Bar,West End,,,FALSE,,https://www.sullivanstapboston.com/ ,,,
Scholars,Bar,Downtown ,,No,TRUE,,https://www.scholarsbostonbistro.com/,,,
Nash bar & Stage,Bar,Downtown ,,,FALSE,,https://www.nashbarboston.com/,, ,
Mariel underground,Nightclub,Downtown ,Yes,No (But sometimes ticketed),TRUE,,https://www.marielunderground.com/,, ,
Royale,Nightclub,Downtown ,Yes,Yes (ticketed sometimes),TRUE,,https://royaleboston.com/,,,
Hava,Nightclub,Downtown ,,Yes,FALSE,,https://www.havaboston.com/,,,
Bijou,Nightclub,Downtown ,Yes,Yes (ticketed sometimes),TRUE,,https://www.bijouboston.com/,,,
Howl at the moon / Down,Night Club (ish),Downtown ,,,TRUE,,https://www.howlatthemoon.com/down-boston/,,, 
Venu,Nightclub,Back Bay,Yes,Yes,TRUE,,https://www.venuboston.com/,,,
Icon,Nightclub,Back Bay,,,FALSE,,https://www.iconnightclub.com/,,,
Memoire,Nightclub,Encore,,Yes (ticketed sometimes),FALSE,,http://memoireboston.com/,,,
Lincoln,Bar,Southie,No,,TRUE,,https://www.lincolnsouthboston.com/,,,
Broadway,Bar,Southie,No,,TRUE,,https://www.thebroadwaysouthboston.com/,,,
Capo,Bar,Southie,No,,TRUE,,https://www.caposouthboston.com/,,,
Stats,Sports Bar,Southie,No,,FALSE,,https://www.statsboston.com/,,,
Playwright,Bar,Southie,No,,FALSE,,https://www.theplaywrightbar.com/,,,
Loco,Bar,Southie,No,,TRUE,,https://locosouthboston.com/,,,
Game on,Sports Bar,Fenway,,,FALSE,,https://www.gameonboston.com/,,,
Loretta's Last call,Bar,Fenway,,,FALSE,,https://www.lorettaslastcall.com/,,,
HAN,Nightclub,Allston,,,FALSE,,https://www.hanboston.com,,,