Restaurants / Bars,Food Genre ,location,Notes,Have Kelsey been?,TikTok/ IG Reels,Links: ,,
Kured,,Beacon Hill,To go Charcuterie Boards,TRUE, ,https://www.kured.co/,,
Hub Hall,Food Hall ,West End,,TRUE,,https://www.hubhallboston.com/,,
High Street Food Hall,Food Hall ,Downtown ,,FALSE,,https://www.highstreetplace.com/,,
Carrie Nation Cocktail Club,Speakeasy,Downtown ,,FALSE,,http://www.carrienationcocktailclub.com/,,
Rock & Rye,Game Bar,Downtown ,,FALSE,,https://rocknryebar.com/,,
Versus,Game Bar,Downtown ,,TRUE,,https://www.versusboston.com,,
Offsuit,Speakeasy,Downtown ,"You have to call when you get to the door, don't knock",FALSE,,https://www.offsuitboston.com/,,
Kane Donuts,Donut shop,Financial District,,TRUE,,https://www.kanesdonuts.com/,,
Fight Club,Darts bar,Seaport,,TRUE,,https://us.flightclubdarts.com/boston/,,
Kings,Bowling bar,Seaport,,TRUE,,https://www.kings-de.com/location/kings-dining-entertainment-boston-seaport/,, 
Taiyaki NYC,Ice Cream,Seaport,Japanese Ice cream in fish cones,TRUE,,https://taiyakinyc.com/,,
Trillium,Brewery,Seaport,,FALSE,,https://www.trilliumbrewing.com/locations/fort-point,, 
Puttshack,Golf bar,Seaport,,TRUE,,https://www.puttshack.com/locations/boston,,
SPIN,Ping Pong Bar,Seaport,,FALSE,,https://www.bostonseaport.xyz/venue/spin-boston/,,
F1 Arcade Boston,F1 simulator ,Seaport,,TRUE,,https://f1arcade.com/us/boston,,
The Sporting Club,Sports Bar,Seaport,,FALSE,,https://www.omnihotels.com/hotels/boston-seaport/dining/the-sporting-club,,
Farmacia ,Speakeasy,North end ,,FALSE,,https://www.farmacianorthend.com/,,
Improv Asylum,Comedy shows,North end , ,FALSE,,https://improvasylum.com/ ,,
The Wig Shop,Speakeasy,South end ,,FALSE,,https://www.wigshopboston.com/,,
Wally's Cafe Jazz Club,Jazz Club,South end ,,FALSE,,https://wallyscafe.com/,,
The Kartal,Lounge,South end ,,FALSE,,https://thekartalboston.com/ ,,
Fomu,Ice Cream,South end ,,FALSE,,https://www.fomuicecream.com/,,
Tiki Rock,Asian,Faneuil hall ,,FALSE,,https://www.tikirock.com/,,
Hong Kong,"Asian bar, Karaoke",Faneuil hall ,Scorpion bowl,TRUE,,https://hongkongboston.com/about-us,,
Roxy's Arcade,Game Bar,Cambridge,,FALSE,,https://www.a4cade.com/,,
Down East Cider House,Brewery,Southie,,FALSE,,https://downeastcider.com/,,
PKL Boston,Pickleball Bar,Southie,,FALSE,,https://playpkl.com,,
Next Door,Speakeasy,East Boston,,TRUE,,https://www.nextdooreastie.com/,,
Down East Cider House,Brewery,East Boston,,FALSE,,https://downeastcider.com/pages/visit,,
Hecate ,"Speakeasy, 
Cocktail bar",Back Bay,,TRUE,,https://hecatebar.com/,,
Bar Pallino,Speakeasy,Back Bay,,FALSE,,https://www.facciabruttaboston.com/bar-pallino ,,
Bar Pallino,Speakeasy,Back Bay,,FALSE,,https://facciaafacciaboston.com/bar-pallino/,,
Levain Bakery,Cookies,Back Bay,,TRUE,,https://levainbakery.com/?utm_source=google&utm_medium=paid_search&utm_campaign=15136225644&utm_content=134841439568&utm_term=levain&gclid=Cj0KCQiAiJSeBhCCARIsAHnAzT9nm1CqbglqxGanxhNJJueLQSElhxbxOj4Cpq9cV6NMvSOhVHGAPyMaAlPQEALw_wcB,,
Blind Duck,"Speakeasy, 
Cocktail bar",Back Bay,Upscale,FALSE,,https://www.raffles.com/boston/dining/speakeasy/ ,,
OAK Long Bar + Kitchen,Bar,Back Bay,,FALSE,,https://www.oaklongbarkitchen.com/ ,,
Bleacher bar,Sports bar,Fenway,,FALSE,,https://www.bleacherbarboston.com,,
Stage ,Karaoke,Allston,,FALSE,,https://www.stagekaraoke.com/,,
Dorchester Brewing company,Brewery,Dorchester,,FALSE,,https://www.dorchesterbrewing.com/?utm_source=GMB&utm_medium=GMBListing,,
Boston Winery,Winery,Dorchester,,FALSE,,https://www.bostonwinery.com/,,