Things to do,Location,Notes,Has Kelsey been?,TikTok/ IG Reels,Links,
Celtics game,TD Garden,,TRUE, ,https://www.tdgarden.com/events/category/celtics,
Bruins game,TD Garden,,TRUE,,https://www.tdgarden.com/events/category/bruins,
Museum of Science,West End,,TRUE,,https://www.mos.org/,
Red Sox Game,Fenway,,TRUE,,https://thefenway.com/locations/fenway-park,
Isabella Stewart Gardner Museum,Fenway,The biggest art heist in America took place here (Netflix doc This is a Robbery),TRUE,,https://www.gardnermuseum.org/,
ICA Museum,Seaport,,TRUE,,https://www.icaboston.org/,
Seaport pop up shops,Seaport,Shopping ,TRUE,,https://www.bostonseaport.xyz/,
Waterfront Seaport,Seaport,,TRUE,,,
Boston Public Market,Faneuil Hall,,TRUE,,https://faneuilhallmarketplace.com/boston-public-market/, 
Faneuil Hall,Faneuil Hall,Shopping ,TRUE,,https://faneuilhallmarketplace.com/,
New England Aquarium,Long Wharf,,TRUE,,https://www.neaq.org/,
Boston Athenaeum,Downtown,"Library
Instagramable",TRUE,,https://www.bostonathenaeum.org/,
Ice Skating,Downtown,Ice Skating at the frog pond in the common,FALSE,,,
Boston Ballet,Downtown,,FALSE,,https://www.bostonballet.org/home.aspx,
Charles River Esplanade,"Back Bay,
West End",,TRUE,,https://esplanade.org/,
Public Garden,Back Bay ,,TRUE,,https://www.boston.gov/parks/public-garden,
Walk Newbury Street,Back Bay,Shopping,TRUE,,https://www.newburystboston.com/,
Boston Public Library,Back Bay,,TRUE,,https://www.bpl.org/,
Prudential Mall / Copley,Back Bay,Shopping ,TRUE,,https://www.prudentialcenter.com/,
Tea at the Boston Public Library ,Back Bay,,FALSE,,https://www.librarytea.com/courtyard,
Harvard Campus,Cambridge,,TRUE,,,
Garment District,Cambridge,Vintage shopping,TRUE,,https://garmentdistrict.com/refresh/,
Beacon Hill,Beacon Hill,"Acorn Street (most photographed street in America)
Charles Street",TRUE,,,
Rainbow Pottery studio,Beacon Hill,,FALSE,,https://www.rainbowspottery.com/,
Beacon Hill Books & Cafe,Beacon Hill,,TRUE,,https://www.bhbooks.com,
Improv Asylum,North end ,Comedy shows,FALSE,,https://improvasylum.com/,
Duck Boats,,,TRUE,,https://bostonducktours.com/,
Take the water Taxi,,,TRUE,,https://www.bostonwatertaxi.com/,
Picnic,,Check out @picnicplaybook on insta for luxury buble tents ,FALSE,,https://thepicnicplaybook.wixsite.com/thepicnicplaybook,
Bow market,Somerville ,,FALSE,,https://www.bowmarketsomerville.com,
Muse PaintBar,Somerville ,,TRUE,,https://www.musepaintbar.com/events/somerville-paint-bar?utm_source=GMB_listing&utm_medium=organic,
Animal Adventures,Bolton,,FALSE,,https://www.animaladventures.net/tickets-tours ,
SOWA,South End,Market,TRUE,,https://www.sowaboston.com/sowa-open-market,
Charles River Boat Company,,Boat Tour,FALSE,,https://charlesriverboat.com/,